,Unnamed: 0_x,Player,Mat_x,Inns_x,NO,Runs_x,HS,Ave_x,BF,SR_x,100,50,0,4s,6s,format,Unnamed: 0_y,Span,Mat_y,Inns_y,Balls,Runs_y,Wkts,Ave_y,Econ,SR_y,4,5
162,,CRD Fernando (Asia/SL),,,,,,,,,,,,,,,48.0,2001-2012,147.0,141.0,6507.0,5648.0,187.0,30.2,5.2,34.7,3.0,1.0
163,,Saeed Ajmal (PAK),,,,,,,,,,,,,,,49.0,2008-2015,113.0,112.0,6000.0,4182.0,184.0,22.72,4.18,32.6,6.0,2.0
164,,Imran Khan (PAK),,,,,,,,,,,,,,,50.0,1974-1992,175.0,153.0,7461.0,4844.0,182.0,26.61,3.89,40.9,3.0,1.0
165,,Aaqib Javed (PAK),,,,,,,,,,,,,,,51.0,1988-1998,163.0,159.0,8012.0,5721.0,182.0,31.43,4.28,44.0,2.0,4.0
166,,Umar Gul (PAK),,,,,,,,,,,,,,,52.0,2003-2016,130.0,128.0,6064.0,5253.0,179.0,29.34,5.19,33.8,4.0,2.0
167,,SCJ Broad (ENG),,,,,,,,,,,,,,,53.0,2006-2016,121.0,121.0,6109.0,5364.0,178.0,30.13,5.26,34.3,9.0,1.0
168,,NLTC Perera (SL),,,,,,,,,,,,,,,54.0,2009-2021,166.0,157.0,5900.0,5740.0,175.0,32.8,5.83,33.7,5.0,4.0
169,,NW Bracken (AUS),,,,,,,,,,,,,,,55.0,2001-2009,116.0,116.0,5759.0,4240.0,174.0,24.36,4.41,33.0,5.0,2.0
170,,Imran Tahir (SA),,,,,,,,,,,,,,,56.0,2011-2019,107.0,104.0,5541.0,4297.0,173.0,24.83,4.65,32.0,7.0,3.0
171,,JDP Oram (NZ),,,,,,,,,,,,,,,57.0,2001-2012,160.0,154.0,6911.0,5047.0,173.0,29.17,4.38,39.9,3.0,2.0
172,,IK Pathan (INDIA),,,,,,,,,,,,,,,58.0,2004-2012,120.0,118.0,5855.0,5142.0,173.0,29.72,5.26,33.8,5.0,2.0
173,,A Flintoff (ENG/ICC),,,,,,,,,,,,,,,59.0,1999-2009,141.0,119.0,5624.0,4121.0,169.0,24.38,4.39,33.2,6.0,2.0
174,,TA Boult (NZ),,,,,,,,,,,,,,,60.0,2012-2021,93.0,93.0,5117.0,4261.0,169.0,25.21,4.99,30.2,8.0,5.0
175,,Mushtaq Ahmed (PAK),,,,,,,,,,,,,,,63.0,1989-2003,144.0,142.0,7543.0,5361.0,161.0,33.29,4.26,46.8,3.0,1.0
176,,AU Rashid (ENG),,,,,,,,,,,,,,,64.0,2009-2021,112.0,106.0,5573.0,5251.0,159.0,33.02,5.65,35.0,7.0,2.0
177,,RJ Hadlee (NZ),,,,,,,,,,,,,,,65.0,1973-1990,115.0,112.0,6182.0,3407.0,158.0,21.56,3.3,39.1,1.0,5.0
178,,MD Marshall (WI),,,,,,,,,,,,,,,67.0,1980-1992,136.0,134.0,7175.0,4233.0,157.0,26.96,3.53,45.7,6.0,0.0
179,,M Prabhakar (INDIA),,,,,,,,,,,,,,,68.0,1984-1996,130.0,127.0,6360.0,4534.0,157.0,28.87,4.27,40.5,4.0,2.0
180,,A Nehra (Asia/INDIA),,,,,,,,,,,,,,,69.0,2001-2011,120.0,120.0,5751.0,4981.0,157.0,31.72,5.19,36.6,5.0,2.0
181,,GB Hogg (AUS),,,,,,,,,,,,,,,70.0,1996-2008,123.0,113.0,5564.0,4188.0,156.0,26.84,4.51,35.6,3.0,2.0
182,,CR Woakes (ENG),,,,,,,,,,,,,,,71.0,2011-2021,106.0,102.0,5016.0,4567.0,155.0,29.46,5.46,32.3,10.0,3.0
183,,BAW Mendis (SL),,,,,,,,,,,,,,,73.0,2008-2015,87.0,84.0,4154.0,3324.0,152.0,21.86,4.8,27.3,7.0,3.0
184,,UDU Chandana (SL),,,,,,,,,,,,,,,74.0,1994-2007,147.0,136.0,6142.0,4818.0,151.0,31.9,4.7,40.6,4.0,1.0
185,,R Ashwin (INDIA),,,,,,,,,,,,,,,75.0,2010-2017,111.0,109.0,6021.0,4937.0,150.0,32.91,4.91,40.1,1.0,0.0
