,Player,Mat_x,Inns_x,NO,Runs_x,HS,Ave_x,BF,SR_x,100,50,0,4s,6s,Mat_y,Inns_y,Overs,Mdns,Runs_y,Wkts,Ave_y,Econ,SR_y,4,5
136,S Badree (WI/World),,,,,,,,,,,,,,52,52,191,4,1180,56,21.07,6.17,20.4,1,0
137,WB Rankin (ENG/IRE),,,,,,,,,,,,,,50,49,178,2,1219,55,22.16,6.84,19.4,0,0
138,Imad Wasim (PAK),,,,,,,,,,,,,,58,57,204,3,1292,55,23.49,6.33,22.2,1,1
139,RE van der Merwe (NED/SA),,,,,,,,,,,,,,46,44,155.1,1,995,54,18.42,6.41,17.2,1,0
140,Sohail Tanvir (PAK),,,,,,,,,,,,,,57,57,202.2,3,1454,54,26.92,7.18,22.4,0,0
141,B Kumar (INDIA),,,,,,,,,,,,,,55,55,194.5,3,1355,53,25.56,6.95,22,1,1
142,PWH de Silva (SL),,,,,,,,,,,,,,33,31,114.4,0,713,52,13.71,6.21,13.2,1,0
143,SP Narine (WI),,,,,,,,,,,,,,51,49,183.4,1,1105,52,21.25,6.01,21.1,1,0
144,GP Swann (ENG),,,,,,,,,,,,,,39,38,135,4,859,51,16.84,6.36,15.8,0,0
145,MR Adair (IRE),,,,,,,,,,,,,,29,29,105.3,2,727,50,14.54,6.89,12.6,2,0
146,SO Ngoche (KENYA),,,,,,,,,,,,,,41,40,139,2,903,49,18.42,6.49,17,2,0
147,K Rabada (SA),,,,,,,,,,,,,,40,40,145.1,0,1245,49,25.4,8.57,17.7,0,0
148,PA van Meekeren (NED),,,,,,,,,,,,,,46,44,150.1,2,1081,48,22.52,7.19,18.7,2,0
149,S Lamichhane (ICC/NEPAL),,,,,,,,,,,,,,26,26,95.5,3,658,47,14,6.86,12.2,2,0
150,AJ Tye (AUS),,,,,,,,,,,,,,32,31,113.5,1,997,47,21.21,8.75,14.5,1,0
151,M Morkel (SA/World),,,,,,,,,,,,,,44,44,158.4,3,1191,47,25.34,7.5,20.2,2,0
152,Aizaz Khan (HKG),,,,,,,,,,,,,,39,39,133.2,2,933,46,20.28,6.99,17.3,0,0
153,RA Jadeja (INDIA),,,,,,,,,,,,,,55,54,179.1,4,1253,46,27.23,6.99,23.3,0,0
154,Iqbal Hussain (QAT),,,,,,,,,,,,,,26,26,94,0,693,45,15.4,7.37,12.5,2,0
155,Shaheen Shah Afridi (PAK),,,,,,,,,,,,,,39,39,143.2,2,1122,45,24.93,7.82,19.1,0,0
156,JN Frylinck (NAM),,,,,,,,,,,,,,27,26,86.4,0,546,44,12.4,6.3,11.8,1,1
157,Ahsan Malik (NED),,,,,,,,,,,,,,31,29,95.5,1,730,44,16.59,7.61,13,1,1
158,Karan KC (NEPAL),,,,,,,,,,,,,,33,33,111,2,820,44,18.63,7.38,15.1,2,0
